ACC_X,ACC_Y,ACC_Z,Label
-0.06641414141414143,0.18572727272727274,0.9667171717171719,Right
-0.04068999999999999,0.22155999999999998,0.9697199999999999,Right
-0.1114,0.15242,0.97984,Right
-0.06743,0.048339999999999994,0.9930799999999997,Right
-0.05295000000000001,0.042440000000000005,0.99618,Right
-0.043949999999999996,0.04918,0.99348,Right
-0.03625,0.04205999999999999,0.9944500000000002,Right
-0.03077000000000001,0.03960999999999999,0.9951499999999999,Right
-0.02772000000000001,0.03851999999999999,0.99595,Right
-0.02017,0.028380000000000006,0.9958199999999999,Right
-0.015899999999999997,0.036739999999999995,0.9962099999999999,Right
-0.0061800000000000015,0.041580000000000006,0.99512,Right
0.00086,0.03908,0.99566,Right
0.00408,0.03888,0.99508,Right
0.011289999999999998,0.04407000000000001,0.9942299999999998,Right
0.013199999999999998,0.04581,0.99481,Right
0.0121,0.05228,0.9953100000000003,Right
0.00859,0.056139999999999995,0.99495,Right
0.00456,0.057280000000000005,0.99518,Right
0.0009300000000000002,0.06445000000000001,0.9941900000000001,Right
0.00595,0.10857,0.98824,Left
0.0073100000000000005,0.11296,0.9903499999999998,Left
0.012029999999999999,0.11069999999999998,0.9907499999999999,Left
0.016809999999999995,0.11204,0.99051,Left
0.016429999999999997,0.11356999999999998,0.9907600000000001,Left
0.01865,0.11220999999999998,0.9900100000000001,Left
0.022329999999999996,0.10013,0.9919300000000001,Left
0.017259999999999994,0.10491999999999999,0.9918299999999999,Left
0.01949,0.09531000000000002,0.9930099999999998,Left
0.016460000000000002,0.09063000000000003,0.99205,Left
0.015309999999999999,0.08382999999999997,0.9917999999999998,Left
0.01758,0.06498,0.9939999999999999,Left
0.0010599999999999997,0.06689,0.9936200000000001,Left
-0.00797,0.06234000000000002,0.9939699999999999,Left
-0.0054,0.06038,0.9937799999999999,Left
-0.005660000000000001,0.057319999999999996,0.99456,Left
-0.00021999999999999998,0.054900000000000004,0.99513,Left
-0.0002999999999999999,0.053630000000000004,0.9960300000000001,Left
-0.0016700000000000005,0.051559999999999995,0.9955900000000001,Left
-0.00288,0.050949999999999995,0.9956999999999999,Left
